username,repo_id,name,full_name,html_url,language,stargazers_count,forks_count,open_issues_count,size_kb,archived,license_name,created_at,updated_at,pushed_at,days_since_push,is_active_30,is_active_90,is_active_365
Paorapotangaroa,1075542787,SlackCloneBackendAPI,Paorapotangaroa/SlackCloneBackendAPI,https://github.com/Paorapotangaroa/SlackCloneBackendAPI,,0,0,0,8,False,,2025-10-13T16:37:44Z,2026-02-10T15:19:40Z,2026-02-10T15:18:52Z,17,True,True,True
Paorapotangaroa,1087323589,Code-Alone-11,Paorapotangaroa/Code-Alone-11,https://github.com/Paorapotangaroa/Code-Alone-11,CSS,0,6,0,12,False,,2025-10-31T18:06:59Z,2025-12-17T17:49:46Z,2025-12-17T17:49:42Z,72,False,True,True
Paorapotangaroa,1097214840,LibrariesAndAPIs,Paorapotangaroa/LibrariesAndAPIs,https://github.com/Paorapotangaroa/LibrariesAndAPIs,HTML,0,6,0,2,False,,2025-11-15T18:43:47Z,2025-11-15T18:44:01Z,2025-11-15T18:43:58Z,104,False,False,True
Paorapotangaroa,1092134841,SlackWithBackend,Paorapotangaroa/SlackWithBackend,https://github.com/Paorapotangaroa/SlackWithBackend,CSS,0,6,0,7,False,,2025-11-08T03:59:14Z,2025-11-10T19:35:53Z,2025-11-10T19:35:50Z,109,False,False,True
Paorapotangaroa,1077875163,USU-Trivia-Game,Paorapotangaroa/USU-Trivia-Game,https://github.com/Paorapotangaroa/USU-Trivia-Game,JavaScript,0,2,0,30,False,,2025-10-16T21:44:53Z,2025-11-03T18:18:40Z,2025-11-03T18:18:36Z,116,False,False,True
Paorapotangaroa,1082844000,Code-Alone-9,Paorapotangaroa/Code-Alone-9,https://github.com/Paorapotangaroa/Code-Alone-9,CSS,0,3,0,3,False,,2025-10-24T21:24:22Z,2025-10-24T21:36:06Z,2025-10-24T21:36:02Z,126,False,False,True
Paorapotangaroa,1082191203,DiceRoller,Paorapotangaroa/DiceRoller,https://github.com/Paorapotangaroa/DiceRoller,,0,1,0,71,False,,2025-10-23T21:43:51Z,2025-11-24T16:50:33Z,2025-10-23T21:38:00Z,127,False,False,True
Paorapotangaroa,419576150,Paorapotangaroa,Paorapotangaroa/Paorapotangaroa,https://github.com/Paorapotangaroa/Paorapotangaroa,,0,0,0,3,False,,2021-10-21T04:06:43Z,2025-09-24T22:35:26Z,2025-09-24T22:35:22Z,156,False,False,True
Paorapotangaroa,1051358196,3D-Tic-Tac-Toe,Paorapotangaroa/3D-Tic-Tac-Toe,https://github.com/Paorapotangaroa/3D-Tic-Tac-Toe,JavaScript,0,0,0,134,False,,2025-09-05T21:09:58Z,2025-10-01T21:04:56Z,2025-09-09T14:24:51Z,171,False,False,True
Paorapotangaroa,1021116594,Economics,Paorapotangaroa/Economics,https://github.com/Paorapotangaroa/Economics,,0,0,0,0,False,,2025-07-16T23:07:44Z,2025-07-16T23:07:45Z,2025-07-16T23:07:45Z,226,False,False,True
Paorapotangaroa,1021113976,SlackBot---Websocket-tester,Paorapotangaroa/SlackBot---Websocket-tester,https://github.com/Paorapotangaroa/SlackBot---Websocket-tester,JavaScript,0,0,0,2,False,,2025-07-16T22:58:42Z,2025-07-16T23:03:57Z,2025-07-16T23:03:53Z,226,False,False,True
Paorapotangaroa,997800859,MessAroundWithTerraform,Paorapotangaroa/MessAroundWithTerraform,https://github.com/Paorapotangaroa/MessAroundWithTerraform,HCL,0,0,0,6776,False,,2025-06-07T07:58:36Z,2025-06-07T07:58:47Z,2025-06-07T07:58:42Z,265,False,False,True
Paorapotangaroa,997797550,learn-terraform,Paorapotangaroa/learn-terraform,https://github.com/Paorapotangaroa/learn-terraform,HCL,0,0,0,6828,False,,2025-06-07T07:48:39Z,2025-06-07T07:49:43Z,2025-06-07T07:49:39Z,265,False,False,True
Paorapotangaroa,997796747,elasticbeanstalknodeexpress,Paorapotangaroa/elasticbeanstalknodeexpress,https://github.com/Paorapotangaroa/elasticbeanstalknodeexpress,JavaScript,0,0,0,27,False,,2025-06-07T07:46:15Z,2025-06-07T07:46:22Z,2025-06-07T07:46:17Z,265,False,False,True
Paorapotangaroa,997794251,IS415Library,Paorapotangaroa/IS415Library,https://github.com/Paorapotangaroa/IS415Library,Jupyter Notebook,0,0,0,28,False,,2025-06-07T07:38:21Z,2025-06-07T07:39:11Z,2025-06-07T07:39:07Z,265,False,False,True
Paorapotangaroa,997787749,GradeAllTheFinals403,Paorapotangaroa/GradeAllTheFinals403,https://github.com/Paorapotangaroa/GradeAllTheFinals403,HTML,0,0,0,46,False,,2025-06-07T07:18:24Z,2025-06-07T07:18:31Z,2025-06-07T07:18:27Z,265,False,False,True
Paorapotangaroa,997785380,FunctionsReviewDemo,Paorapotangaroa/FunctionsReviewDemo,https://github.com/Paorapotangaroa/FunctionsReviewDemo,HTML,0,0,0,3,False,,2025-06-07T07:11:40Z,2025-06-07T07:11:47Z,2025-06-07T07:11:43Z,265,False,False,True
Paorapotangaroa,997781210,dashly-dashboad-app,Paorapotangaroa/dashly-dashboad-app,https://github.com/Paorapotangaroa/dashly-dashboad-app,Python,0,0,0,24,False,,2025-06-07T06:59:57Z,2025-06-07T07:00:03Z,2025-06-07T06:59:59Z,265,False,False,True
